13,DoubleTree by Hilton Hotel London - Kensington,Hilton Hotels,DoubleTree by Hilton,Luxury,"100 Queens Gate, London SW7 5AG, United Kingdom","Historic hotel situated in a leafy street in the heart of the prestigious Kensington area, just a short walk from Kensington Palace and Hyde Park.",http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-london-kensington-LONLKDI/index.html,HL_exterior_188x150_FitToWidth_Center(4).jpg,51.49249,-0.17863
14,DoubleTree by Hilton Hotel London - Marble Arch,Hilton Hotels,DoubleTree by Hilton,Luxury,"4 Bryanston Street Marble Arch, London W1H 7BY, United Kingdom","With its superb W1 location near Oxford Street, the Doubletree London Marble Arch places you close to all the commercial and cultural centers of London.",http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-london-marble-arch-LONMADI/index.html,DT_extbrand_188x150_FitToBoxSmallDimension_Center.jpg,51.51479,-0.15685
15,DoubleTree by Hilton Hotel London - Tower of London,Hilton Hotels,DoubleTree by Hilton,Luxury,"7 Pepys Street, London EC3N 4AF, United Kingdom",Contemporary hotel near many of London's popular attractions. Rooftop Skylounge overlooks The Tower of London and the Thames. All rates include VAT.,http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-london-tower-of-london-LONTLDI/index.html,HL_sunrise001_188x150_FitToWidth_Center.jpg,51.51079,-0.07801
16,DoubleTree by Hilton Hotel London - Victoria,Hilton Hotels,DoubleTree by Hilton,Luxury,"2 Bridge Place, London SW1V 1QA, United Kingdom","Stylish hotel with complimentary WiFi, superbly located opposite Victoria Station. Within walking distance to Buckingham Palace, Hyde Park and Big Ben.",http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-london-victoria-LONVCDI/index.html,HL_front001_188x150_FitToWidth_Center.jpg,51.4941,-0.1434
17,DoubleTree by Hilton Hotel London - West End,Hilton Hotels,DoubleTree by Hilton,Luxury,"92 Southampton Row, London WC1B 4BH, United Kingdom","Stylish West End hotel with complimentary WiFi. Close to Holborn Station and walking distance to the British Museum, Covent Garden and Oxford Street.",http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-london-west-end-LHRLBDI/index.html,HL_hotel_exterior_188x150_FitToWidth_Center.jpg,51.52007,-0.12218
18,DoubleTree by Hilton Hotel London - Westminster,Hilton Hotels,DoubleTree by Hilton,Luxury,"30 John Islip Street, London SW1P 4DD, United Kingdom","Stylish hotel with complimentary WiFi. Within walking distance to Big Ben, Houses of Parliament, The London Eye and the River Thames.",http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-london-westminster-LONWMDI/index.html,HL_skyloungeview_188x150_FitToBoxSmallDimension_Center.jpg,51.4938,-0.1269
19,DoubleTree by Hilton Hotel London ExCel,Hilton Hotels,DoubleTree by Hilton,Luxury,"Excel, 2 Festoon Way Royal Victoria Dock, London E16 1RH, United Kingdom",Conveniently situated next to the world famous ExCel Exhibition Centre and London City Airport with easy access to London business and attractions.,http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-london-excel-LONEXDI/index.html,DT_hotelexterior_188x150_FitToWidth_Center.jpg,51.50748,0.03874
20,Hampton by Hilton London Gatwick Airport,Hilton Hotels,Hampton by Hilton,Luxury,"Longbridge House North Terminal, London RH6 0PJ, United Kingdom","Modern hotel, conveniently connected to North Terminal at London Gatwick Airport with easy transport links to London and surrounding areas.",http://hamptoninn3.hilton.com/en/hotels/united-kingdom/hampton-by-hilton-london-gatwick-airport-LONGNHX/index.html,HX_extnight_188x150_FitToWidth_Center.jpg,51.16179,-0.17759
21,Hampton by Hilton London Waterloo,Hilton Hotels,Hampton by Hilton,Luxury,"157 Waterloo Road, London SE1 8XA, United Kingdom",A perfect location for business and leisure including the London Eye. The hotel offers complimentary WIFI and hot breakfast,http://hamptoninn3.hilton.com/en/hotels/united-kingdom/hampton-by-hilton-london-waterloo-LONWLHX/index.html,HX_newexterior001_188x150_FitToWidth_Center.jpg,51.50126,-0.10848
22,Hilton Garden Inn London Heathrow Airport,Hilton Hotels,Hilton Garden Inn,Luxury,"Eastern Perimeter Rd, Hatton Cross, London TW6 2SQ, United Kingdom","Stylish, comfortable Heathrow Airport location close to Hatton Cross Underground Station, Wembley Stadium, and Twickenham Rugby Stadium.",http://hiltongardeninn3.hilton.com/en/hotels/united-kingdom/hilton-garden-inn-london-heathrow-airport-LHREPGI/index.html,GI_exteriorhotelql2_188x150_FitToWidth_Center.jpg,51.46833,-0.4192
23,Hilton London Angel Islington,Hilton Hotels,Hilton,Luxury,"53 Upper Street, London N1 0UY, United Kingdom",This modern hotel is located in fashionable Islington and surrounded by trendy bars and restaurants. Book Direct on Hilton.com and receive free WiFi.,http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-angel-islington-LONISHN/index.html,HL_twinexecutive_188x150_FitToBoxSmallDimension_Center.jpg,51.53565,-0.10433
24,Hilton London Bankside,Hilton Hotels,Hilton,Luxury,"2-8 Great Suffolk Street, London SE1 0UG, United Kingdom","London's Bankside hotel 3 mins to Tate Modern, London Bridge, Borough Market. 12 mins walk to St Pauls & City via Millennium Bridge.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-bankside-LONSBHI/index.html,HL_exterior_188x150_FitToWidth_Center(5).jpg,51.50578,-0.10206
25,Hilton London Canary Wharf,Hilton Hotels,Hilton,Luxury,"South Quay, Marsh Wall, London E14 9SH, United Kingdom",Contemporary hotel in the heart of Canary Wharf. Excellent transport links to the city and beyond. 15 minutes from City Airport. All rates include VAT.,http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-canary-wharf-LONCWHI/index.html,HL_extverstwo1_188x150_FitToWidth_Center.jpg,51.50086,-0.01966
26,Hilton London Euston,Hilton Hotels,Hilton,Luxury,"17 - 18 Upper Woburn Place, London WC1H 0HT, United Kingdom","Ideally located in the heart of London. Within walking distance to Kings Cross St Pancras, The British Museum and Covent Garden. All rates include VAT.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-euston-LONEUHI/index.html,Hilton_London_Euston_search_188x150_FitToWidth_Center.jpg,51.5268,-0.1307
27,Hilton London Green Park,Hilton Hotels,Hilton,Luxury,"Half Moon Street, Mayfair, London W1J 7BN, United Kingdom",This townhouse hotel is located in the heart of Mayfair. A few minutes' walk from Buckingham Palace and Hyde Park. Only twenty minutes to Canary Wharf.,http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-green-park-LONGPTW/index.html,HL_hotelexteriorside_188x150_FitToBoxSmallDimension_Center.jpg,51.50647,-0.14549
28,Hilton London Hyde Park,Hilton Hotels,Hilton,Luxury,"129 Bayswater Road, London W2 4RJ, United Kingdom","Stunning views over Kensington Gardens. The grade II listed Edwardian townhouse is located in central London, near Hyde Park & the Royal Albert Hall.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-hyde-park-LONHPHN/index.html,HL_exteriornight_188x150_FitToBoxSmallDimension_LowerCenter.jpg,51.51036,-0.18737
29,Hilton London Kensington,Hilton Hotels,Hilton,Luxury,"179-199 Holland Park Avenue, London W11 4UL, United Kingdom","Set in the leafy district of Holland Park, opposite Westfield London Shopping Centre. Walking distance from Portobello Road. All rates include VAT.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-kensington-LHRHITW/index.html,HL_hotelexterior01_188x150_FitToWidth_Center(1).jpg,51.505,-0.2139
30,Hilton London Metropole,Hilton Hotels,Hilton,Luxury,"225 Edgware Road, London W2 1JU, United Kingdom",Hotel features a pool and 5 bars/restaurants. Near Oxford Street with 15-minute link to Heathrow. Book Direct on Hilton.com and receive free WiFi.,http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-metropole-LONMETW/index.html,HL_hotext01_188x150_FitToWidth_Center.jpg,51.5193,-0.1694
31,Hilton London Olympia,Hilton Hotels,Hilton,Luxury,"380 Kensington High Street, London W14 8NL, United Kingdom","Set on Kensington High Street, close to shops, museums and parks. The hotel is a five minute walk to Olympia Exhibition Centre. All rates include VAT.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-olympia-LHROLHN/index.html,HL_exterior001_188x150_FitToWidth_Center(1).jpg,51.49655,-0.20666
32,Hilton London Paddington,Hilton Hotels,Hilton,Luxury,"146 Praed Street, London W2 1EE, United Kingdom","This Art Deco hotel is centrally located with a direct connection to Heathrow Airport in 15 minutes. Walking distance to Hyde Park, close to West End.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-paddington-LONPDHI/index.html,HL_palatialhilton01_188x150_FitToWidth_Center.jpg,51.51559,-0.17603
33,Hilton London Syon Park,Hilton Hotels,Hilton,Luxury,"London Syon Park Middlesex, London TW8 8JF, United Kingdom","Set in 200 acres on the Syon House estate, this elegant hotel boasts a stunning spa and numerous family activities, just 7 miles from Central London.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-syon-park-LHRSPHI/index.html,Hilton_London_Syon_Park_search_188x150_FitToWidth_Center.jpg,51.478,-0.3136
34,Hilton London Tower Bridge,Hilton Hotels,Hilton,Luxury,"5 More London Place, Tooley Street, London SE1 2BY, United Kingdom","A stylish, vibrant centrally located hotel. Close to Tower Bridge, Tower of London, Tate Modern and Shakespeare's Globe Theatre. All rates include VAT.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-tower-bridge-LONTBHI/index.html,HL_towerbridge001_188x150_FitToBoxSmallDimension_Center.jpg,51.50472,-0.08265
35,London Hilton on Park Lane,Hilton Hotels,Hilton,Luxury,"22 Park Lane, London W1K 1BE, United Kingdom","Elegant hotel on Park Lane, Mayfair, with stunning views. Moments from Buckingham Palace, Knightsbridge and Bond Street. All rates include VAT.",http://www3.hilton.com/en/hotels/united-kingdom/london-hilton-on-park-lane-LONHITW/index.html,London_Hilton_on_Park_Lane_search_188x150_FitToWidth_Center.jpg,51.50542,-0.15104
36,The Trafalgar London,Hilton Hotels,Hilton,Luxury,"2 Spring Gardens, Trafalgar Square, London SW1A 2TS, United Kingdom","Boutique-style hotel by Trafalgar Square. Minutes from the theatre district, Covent Garden, St James's Park, Buckingham Palace and Big Ben.",http://www3.hilton.com/en/hotels/united-kingdom/the-trafalgar-london-LONTSHI/index.html,HL_exterior02_188x150_FitToWidth_Center.jpg,51.5074,-0.12919
37,"The Waldorf Hilton, London",Hilton Hotels,Hilton,Luxury,"Aldwych, London WC2B 4DD, United Kingdom","An iconic hotel providing 21st century comforts against a backdrop of exquisitely restored splendor, in the heart of London?s theatre district.",http://www3.hilton.com/en/hotels/united-kingdom/the-waldorf-hilton-london-LONWAHI/index.html,Waldorf_Hilton_London_search_188x150_FitToWidth_Center.jpg,51.51265,-0.11937
38,Hampton by Hilton London Luton Airport,Hilton Hotels,Hampton by Hilton,Luxury,"42-50 Kimpton Road, Luton LU2 0NB, United Kingdom",This hotel is perfectly located for Luton International Airport (LTN) and Luton Town Centre; both just  5 minutes from the hotel.,http://hamptoninn3.hilton.com/en/hotels/united-kingdom/hampton-by-hilton-london-luton-airport-LTNLAHX/index.html,Hampton_by_Hilton_London_Luton_Airport_search_188x150_FitToWidth_Center.jpg,51.8743,-0.3963
39,Hilton London Stansted Airport Hotel,Hilton Hotels,Hilton,Luxury,"Round Coppice Road, Stansted CM24 1SF, United Kingdom",Located six minutes by shuttle bus from London Stansted Airport and only thirty minutes by train from London,http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-stansted-airport-hotel-STNAPHN/index.html,HL_exterior01_188x150_FitToWidth_Center(1).jpg,51.87679,0.2117
40,Hilton London Wembley,Hilton Hotels,Hilton,Luxury,"Lakeside Way, Wembley HA9 0BU, United Kingdom","Located next door to the iconic Wembley Stadium, SSE Wembley Arena and the new London Designer Outlet. Central London is only 20 minutes away.",http://www3.hilton.com/en/hotels/united-kingdom/hilton-london-wembley-LONLWHI/index.html,Hilton_London_Wembley_search_188x150_FitToWidth_Center.jpg,51.55739,-0.28341
